,PREDICTED,ACTUAL
15060021,116.894,116
15060025,116.909,118
15060027,117.332,117
15060039,117.652,115
15060042,117.527,118
15060056,117.511,118
15060063,118.085,115
15060070,116.5,117
15060081,116.99,112
15060085,117.329,128
15060087,116.506,115
15060097,117.989,128
15060102,116.875,117
15060112,117.353,116
15060114,117.443,117
15060120,117.016,115
15060121,116.775,128
15060122,116.99,116
15060138,117.011,116
15060160,117.123,128
15060187,117.128,117
15060188,116.811,128
15060190,117.056,115
15060191,116.522,106
15060214,117.508,117
15060313,118.123,115
15060320,117.014,118
15060345,116.61,115
15060383,118.136,132
15060420,116.6,128
15060543,117.009,117
15060570,117.348,117
15060797,118.115,117
15060846,116.873,115
15060907,117.553,117
15060910,117.498,116
15060933,117.02,118
15060964,117.252,132
15061007,117.253,117
15061011,116.917,117
15061122,116.983,118
15061204,117.528,115
15061213,117.695,111
15061215,117.68,117
15061216,117.667,118
15061225,117.453,118
15061226,117.272,112
15061228,117.433,128
15061237,117.023,107
15061256,117.501,117
15061257,117.535,118
15061259,116.507,116
15061260,116.911,128
15061262,117.932,128
15061263,118.124,128
15061264,117.976,117
15061265,117.169,118
15061270,117.285,117
15061273,117.166,117
15061274,117.05,116
15061277,118.091,128
15061282,117.474,112
15061283,117.35,118
15061286,117.509,117
15061288,117.699,132
15061289,117.653,118
15061290,116.961,115
15061291,117.173,117
15061293,117.365,118
15061295,117.009,115
15061296,116.925,118
15061298,117.384,118
15061299,117.464,117
15061303,117.088,118
15061307,117.434,117
15061312,117.174,106
15061313,116.523,106
15061314,117.082,107
15061317,117.925,118
15061318,117.518,117
15061319,116.911,115
15061320,116.861,115
15061323,117.447,117
15061324,117.841,117
15061329,117.444,117
15061334,117.121,118
15061335,117.045,118
15061337,117.355,117
15061338,116.41,118
15061340,116.502,117
15061344,117.107,115
15061345,116.599,106
15061346,116.6,117
15061347,117.475,117
15061348,117.341,128
15061349,117.444,128
15061350,117.173,128
15061352,117.261,118
15061353,117.353,117
15061355,117.353,117
15061356,116.981,117
15061357,117.438,117
15061358,116.901,132
15061360,117.35,117
15061364,117.353,107
15061365,117.673,117
15061367,117.688,132
15061369,116.785,118
15061376,116.6,117
15061378,117.049,117
15061380,117.483,117
15061382,117.445,115
15061383,117.348,115
15061384,116.505,117
15061388,117.552,128
15061390,117.243,117
15061391,117.257,117
15061392,117.631,117
15061394,117.93,118
15061396,117.928,118
15061404,117.234,118
15061406,117.353,117
15061410,116.79,117
15061411,116.736,115
15061414,117.241,118
15061415,118.619,132
15061417,117.236,128
15061418,117.241,118
15061419,116.511,117
15061420,116.861,117
15061421,116.938,118
15061422,118.335,117
15061424,117.572,117
15061425,116.609,117
15061428,116.604,118
15061430,116.601,117
15061435,116.956,117
15061436,117.656,115
15061437,116.916,115
15061439,116.917,117
15061441,116.577,118
15061442,116.738,118
15061444,117.25,124
15061445,116.577,117
15061447,118.504,132
15061449,117.879,117
15061454,117.884,117
15061458,116.599,118
15061459,117.241,115
15061461,116.601,106
15061463,117.895,117
15061469,117.104,112
15061470,116.989,118
15061471,116.971,117
15061475,116.928,115
15061476,117.27,115
15061478,116.512,117
15061479,118.353,118
15061480,116.576,117
15061481,116.522,117
15061484,117.284,115
15061485,117.641,118
15061486,117.177,117
15061489,117.24,118
15061490,117.246,118
15061491,117.243,106
15061492,117.242,117
15061493,117.277,117
15061494,117.736,117
15061495,117.478,115
15061496,117.487,117
15061499,116.519,106
15061500,117.675,115
15061501,117.461,115
15061503,118.339,118
15061504,117.455,117
15061505,117.516,118
15061507,116.727,106
15061508,116.735,118
15061509,116.878,118
15061511,116.879,115
15061515,117.925,112
15061516,117.463,118
15061517,117.355,117
15061518,118.334,118
15061521,117.81,118
15061522,117.845,118
15061524,117.735,124
15061525,116.738,115
15061526,117.655,117
15061528,117.697,118
15061529,116.877,118
15061530,116.733,118
15061533,116.755,132
15061534,116.9,115
15061535,117.485,117
15061536,116.744,106
15061540,116.524,115
15061542,116.522,115
15061543,117.701,118
15061544,116.745,115
15061546,116.725,117
15061548,116.848,117
15061549,117.238,132
15061550,117.566,117
15061553,117.762,117
15061555,117.146,117
15061556,117.699,117
15061560,117.549,118
15061561,117.224,117
15061564,118.38,132
15061565,118.139,116
15061566,116.509,115
15061568,117.15,117
15061571,116.454,106
15061575,117.285,118
15061576,116.992,117
15061577,117.448,117
15061578,117.66,117
15061579,116.571,115
15061580,117.333,118
15061583,117.45,117
15061584,117.671,118
15061585,117.011,115
15061586,116.989,118
15061588,117.653,117
15061600,118.277,117
15061602,117.375,132
15061603,116.51,118
15061604,117.998,128
15061605,117.879,118
15061608,116.987,132
15061609,116.508,117
15061610,117.355,118
15061612,117.019,117
15061613,117.46,128
15061619,117.241,132
15061621,117.459,106
15061622,117.011,117
15061623,116.909,118
